hcr_category,agricultural sciences,biology/biochemistry,chemistry,clinical medicine,computer science,cross-field,economics/business,engineering,environment/ecology,geosciences,immunology,materials science,mathematics,microbiology,molecular biology/genetics,neuroscience/behavior,pharmacology/toxicology,physics,plant/animal science,psychiatry/psychology,social sciences,space science
is_health,False,True,False,True,False,True,False,False,False,False,True,False,False,True,True,True,True,False,False,True,True,False
2014_HCR.xlsx,112,195,198,402,117,0,95,187,137,159,87,147,99,114,201,129,133,144,176,100,177,106
2015_HCR.xlsx,128,225,205,375,108,0,71,157,132,148,110,130,99,99,198,148,128,119,172,110,165,99
2016_HCR.xlsx,132,203,216,377,126,0,70,145,147,149,125,152,106,103,186,167,138,110,208,134,170,102
2017_HCR.xlsx,156,212,215,389,152,0,93,176,160,141,138,150,96,106,204,187,134,194,207,138,188,102
2018_HCR.xlsx,158,254,261,497,97,2020,96,204,185,184,146,208,90,148,249,197,161,211,223,157,211,122
2019_HCR.xlsx,146,212,237,436,107,2491,113,192,169,153,135,195,89,116,238,198,140,194,196,146,204,109
2020_HCR.xlsx,111,243,249,482,124,2493,101,173,202,151,199,203,70,133,206,212,144,179,220,171,200,123
2021_HCR.xlsx,125,206,240,453,110,2828,81,169,202,143,161,219,74,126,177,179,159,198,202,183,263,104
2022_HCR.xlsx,116,303,270,466,115,3240,92,153,202,148,214,222,52,129,206,225,153,176,185,191,270,93
2023_HCR.xlsx,117,282,255,477,97,3329,87,133,137,174,203,232,0,200,186,226,159,165,190,173,230,75
2024_HCR.xlsx,106,247,218,443,87,3326,41,108,141,175,193,232,0,192,198,231,150,151,194,184,204,65
