ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
151,2023_HCR.xlsx,5403,2,,Lou,Materials Science,,,,,,,,,,,,,,,,,,Xiong Wen (David),"City University of Hong Kong, Hong Kong",
154,2018_HCR.xlsx,4374,2,,,Mathematics,,,,,,,,,,,,,H. M.,Srivastava,"China Med Univ Taiwan, Taiwan","Univ Victoria, Canada",,,,
159,2020_HCR.xlsx,4693,2,,,Materials Science,,,,,,,,,,,,,He,Yan,"Hong Kong University of Science & Technology, Hong Kong",,,,,
162,2022_HCR.xlsx,1207,2,,Leung,Computer Science,,,,,,,,,,,,,,,,,,Victor C. M.,"Shenzhen University, China Mainland","University of British Columbia, Canada"
152,2018_HCR.xlsx,3645,3,,,Environment/Ecology,,,,,,,,,,,,,Antoine,Guisan,"Univ Lausanne, Switzerland",,,,,
148,2018_HCR.xlsx,814,4,,,Clinical Medicine,,,,,,,,,,,,,Karim S.,Fizazi,"Univ Paris Sud, France",,,,,
149,2023_HCR.xlsx,3375,4,,Priller,Cross-Field,,,,,,,,,,,,,,,,,,Josef,"Technical University of Munich, Germany","University of Edinburgh, United Kingdom"
157,2016_HCR.xlsx,1195,4,Anders ,Lyngfelt,Engineering,"Chalmers Univ Technol, Sweden",,,,,,,,,,,,,,,,,,,
172,2015_HCR.xlsx,2159,4,Jaakko,,Molecular Biology & Genetics,"Univ Helsinki, Austria",,E-6504-2011,,,,,Tuomilehto,,,,,,,,,,,,
176,2020_HCR.xlsx,2119,4,,,Cross-Field,,,,,,,,,,,,,M. Arfan,Ikram,"Erasmus University Medical Center, Netherlands",,,,,
177,2022_HCR.xlsx,4354,4,,Zhang,Cross-Field,,,,,,,,,,,,,,,,,,Jian,"Dresden University of Technology, Germany",
180,2020_HCR.xlsx,4456,4,,,Immunology,,,,,,,,,,,,,Antonella,Muraro,"University of Padua, Italy",,,,,
141,2024_HCR.xlsx,5858,5,,,Neuroscience and Behavior,,,,,,,,,,,,,Ronald C.,Petersen,"Mayo Clinic, United States",,,,,
142,2017_HCR.xlsx,3198,5,Matthew K,Nock,Psychiatry/Psychology,"Harvard Univ, United States",,,,,,,,,,,,,,,,,,,
143,2018_HCR.xlsx,3357,5,,,Economics & Business,,,,,,,,,,,,,Robert W.,Palmatier,"Univ Washington, United States",,,,,
144,2019_HCR.xlsx,5152,5,,,Neuroscience and Behavior,,,,,,,,,,,,,C. Warren,Olanow,"Icahn School of Medicine at Mount Sinai, United States",,,,,
145,2024_HCR.xlsx,6450,5,,,Psychiatry and Psychology,,,,,,,,,,,,,Chris R.,Brewin,"University College London, United Kingdom",,,,,
146,2023_HCR.xlsx,5268,5,,Sheikh,Immunology,,,,,,,,,,,,,,,,,,A.,"University of Edinburgh, United Kingdom",
147,2014_HCR.xlsx,2071,5,Mark J,Caulfield,Molecular Biology & Genetics,"Queen Mary, U. of London, UK",,,,,,,,,,,,,,,,,,,
150,2015_HCR.xlsx,265,5,Huaiyu Y,,Biology & Biochemistry,"Univ So Calif, USA",,,,,,,Mi,,,,,,,,,,,,
153,2024_HCR.xlsx,1974,5,,,Cross-Field,,,,,,,,,,,,,Wei,Gong,"Imperial College London, United Kingdom",,,,,
155,2020_HCR.xlsx,475,5,,,Chemistry,,,,,,,,,,,,,Zhiqun,Lin,"Georgia Institute of Technology, United States",,,,,
156,2022_HCR.xlsx,1064,5,,Sharma,Clinical Medicine,,,,,,,,,,,,,,,,,,Padmanee,"UTMD Anderson Cancer Center, United States",
158,2021_HCR.xlsx,1408,5,,,Cross-Field,,,,,,,,,,,,,William C.,Hahn,"Dana-Farber Cancer Institute, United States",,"Broad Institute, United States",,,
160,2023_HCR.xlsx,1121,5,,Woodward,Clinical Medicine,,,,,,,,,,,,,,,,,,Mark,"University of New South Wales Sydney, Australia","Imperial College London, United Kingdom"
161,2024_HCR.xlsx,6655,5,,,Social Sciences,,,,,,,,,,,,,Laura J.,Damschroder,"VA Ann Arbor Healthcare System, United States","Queensland University of Technology (QUT), Australia",,,,
