ktp.draw_number,hcr.filename,hcr.row_number,ktp.priority,hcr.firstname_middlename,hcr.lastname,hcr.category,hcr.full_primary_affiliation,hcr.full_secondary_affiliation,hcr.researcher_id,hcr.unnamed_6,hcr.unnamed_7,hcr.unnamed_8,hcr.unnamed_9,hcr.familyname,hcr.orcid,hcr.institutional_profile,hcr.twitter,hcr.linkedin,hcr.first_name,hcr.last_name,hcr.primary_affiliation,hcr.secondary_affiliation,hcr.secondary_affiliations,hcr.firstname,hcr.primaryaffiliation,hcr.secondaryaffiliation
pilot.1,2024_HCR.xlsx,1890,5,,,Cross-Field,,,,,,,,,,,,,Bin,Gao,"Rice University, United States",,,,,
pilot.2,2024_HCR.xlsx,383,4,,,Chemistry,,,,,,,,,,,,,Beatriz Roldan,Cuenya,"Ruhr University Bochum, Germany",,,,,
pilot.3,2024_HCR.xlsx,551,2,,,Chemistry,,,,,,,,,,,,,Lizhi,Zhang,"Shanghai Jiao Tong University, China Mainland",,,,,
pilot.4,2024_HCR.xlsx,657,4,,,Clinical Medicine,,,,,,,,,,,,,Rudolf A.,de Boer,"Erasmus MC, Netherlands","University of Groningen, Netherlands",,,,
pilot.5,2024_HCR.xlsx,1164,3,,,Cross-Field,,,,,,,,,,,,,Hidenori,Arai,"National Center for Geriatrics & Gerontology, Japan",,,,,
pilot.6,2024_HCR.xlsx,1327,5,,,Cross-Field,,,,,,,,,,,,,Mark A.,Bradford,"Yale University, United States",,,,,
pilot.7,2024_HCR.xlsx,1010,5,,,Clinical Medicine,,,,,,,,,,,,,Salim,Yusuf,"McMaster University, Canada",,,,,
pilot.8,2024_HCR.xlsx,968,5,,,Clinical Medicine,,,,,,,,,,,,,Nicholas C.,Turner,"Institute of Cancer Research - UK, United Kingdom","Royal Marsden NHS Foundation Trust, United Kingdom",,,,
pilot.9,2024_HCR.xlsx,359,3,,,Chemistry,,,,,,,,,,,,,Osman M.,Bakr,"King Abdullah University of Science & Technology, Saudi Arabia",,,,,
pilot.10,2024_HCR.xlsx,6104,4,,,Physics,,,,,,,,,,,,,Rainer,Blatt,"University of Innsbruck, Austria","Austrian Academy of Sciences, Austria",,,,
