name,openalex_id,openalex_id_short
Alice Brown,https://openalex.org/A5067581909,A5067581909
Bin Liu,https://openalex.org/A5100395468,A5100395468
Bin Wang,https://openalex.org/A5100338047,A5100338047
Bin Zhang,https://openalex.org/A5100392899,A5100392899
Bing Zhang,https://openalex.org/A5100389704,A5100389704
Chao Wang,https://openalex.org/A5100381753,A5100381753
Chen Chen,https://openalex.org/A5100373745,A5100373745
Chris Sander,https://openalex.org/A5008166270,A5008166270
Dan Wang,https://openalex.org/A5101593329,A5101593329
Dennis R. Burton,https://openalex.org/A5058546353,A5058546353
Dong Yang,https://openalex.org/A5100366084,A5100366084
Fabian J. Theis,https://openalex.org/A5083128670,A5083128670
Gang Li,https://openalex.org/A5018012012,A5018012012
Gang Wu,https://openalex.org/A5100717613,A5100717613
Jane Doe,https://openalex.org/A5040857470,A5040857470
John P. A. Ioannidis,https://openalex.org/A5070446713,A5070446713
Jun Chen,https://openalex.org/A5100444820,A5100444820
Jun Wang,https://openalex.org/A5084169778,A5084169778
Li Li,https://openalex.org/A5100748869,A5100748869
Peter Smith,https://openalex.org/A5028843362,A5028843362
Wei Chen,https://openalex.org/A5100344298,A5100344298
Wei Zhang,https://openalex.org/A5100441715,A5100441715
Wei Zhou,https://openalex.org/A5023219361,A5023219361
Xiaoyuan Chen,https://openalex.org/A5100373745,A5100373745
Yang Liu,https://openalex.org/A5100351175,A5100351175
Yong He,https://openalex.org/A5100342968,A5100342968
Yu Wang,https://openalex.org/A5003775869,A5003775869
Yuping Wu,https://openalex.org/A5100368786,A5100368786
